Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-07-19,117998.125,118541.3984375,117388.4140625,117939.9765625,47564562765,[],[],[]
2025-07-20,117944.109375,118865.03125,116550.1328125,117300.7890625,57515447231,[],[],[]
2025-07-21,117306.46875,119671.5625,116584.3984375,117439.5390625,69820091744,[],[],[]
2025-07-22,117426.5,120269.96875,116233.2265625,119995.4140625,79217583118,[],[],[]
2025-07-23,119997.4453125,120113.3515625,117391.390625,118754.9609375,66608604537,[],[],[]
2025-07-24,118770.984375,119535.453125,117247.96875,118368.0,72627318560,[],[],[]
2025-07-25,118368.0,118486.9765625,114759.8203125,117635.8828125,104857024569,['hammer'],[],[]
2025-07-26,117644.84375,118335.6875,117181.2265625,117947.3671875,48508954046,[],[],[]
2025-07-27,117944.7265625,119815.59375,117859.6875,119448.4921875,54683390892,[],[],[]
2025-07-28,119457.5234375,119819.7890625,117441.4375,117924.4765625,64822943193,['engulfing'],[],[]
2025-07-29,117938.5859375,119273.8671875,116987.3671875,117922.1484375,68463107433,[],[],[]
2025-07-30,117921.9921875,118780.7265625,115800.828125,117831.1875,68896148592,[],[],[]
2025-07-31,117833.6328125,118919.984375,115505.21875,115758.203125,69370346018,[],[],[]
2025-08-01,115738.953125,116060.7734375,112724.4453125,113320.0859375,91294530181,[],[],[]
2025-08-02,113320.390625,114021.6015625,112005.765625,112526.9140625,56870866000,[],[],[]
2025-08-03,112525.8046875,114747.421875,111943.8046875,114217.671875,48099615826,['engulfing'],[],[]
2025-08-04,114223.921875,115729.46875,114130.40625,115071.8828125,35783028986,[],[],[]
2025-08-05,115072.1875,115117.4375,112701.109375,114141.4453125,61039182286,['engulfing'],[],[]
2025-08-06,114140.9140625,115737.8359375,113372.25,115028.0,56379133510,[],[],[]
2025-08-07,115030.0546875,117676.90625,114279.7109375,117496.8984375,64051649681,[],[],[]
2025-08-08,117505.5,117689.203125,115917.4609375,116688.7265625,59713005166,[],[],[]
2025-08-09,116678.2734375,117906.609375,116363.8359375,116500.359375,54004312429,['inverted_hammer'],[],[]
2025-08-10,116497.71875,119320.7109375,116485.1640625,119306.7578125,64755458694,['engulfing'],[],[]
2025-08-11,119306.8125,122321.09375,118159.03125,118731.4453125,90528784177,[],[],[]
2025-08-12,118717.6640625,120302.46875,118228.71875,120172.90625,72803657984,['engulfing'],[],[]
2025-08-13,120168.9765625,123682.453125,118939.6328125,123344.0625,90904808795,[],[],[]
